
=== open /dev/ttyUSB0 9600 8N1 at 2026-07-27T11:41:57.406272704+02:00
       0.065 CFG   read timeout 500ms
   10629.153 RX    00 26 00 26 00 26 00 26 00
   10639.317 RX    00 00
   10639.356 TX    80
   10659.694 RX    80 80 1C 00 00
   10669.966 RX    86 72 72 FF 65
   10690.312 RX    78 25 00 80 01
   10710.725 RX    00 00 00 1D
   10720.943 RX    81 4F 03 6B 00 30
   10741.334 RX    0C B2 00 00 00
   10741.372 TX    7D
   10751.526 RX    7D 7D 21
   10771.913 RX    40 0A FF 91 00
   10782.111 RX    58 FF FF 01
   10802.484 RX    00 89 64 00 00
   10812.665 RX    29 FF 00 30 80
   10833.096 RX    7C 95 00 26 00 26 00 26
   10853.469 RX    00 26 00 00 00
   10853.559 TX    80
   10863.732 RX    80 80
   10884.079 RX    1C 00 00 86 72 72
   10894.258 RX    FF 65 78 25 00
   10914.597 RX    80 01 00 00 00
   10924.781 RX    1D 81 4F 03 6B 00
   10945.121 RX    30 0C B2 00 00 00
   10945.174 TX    7D
   10965.441 RX    7D 7D 21
   10975.612 RX    40 0A FF 91 00
   10995.939 RX    58 FF FF 01 00
   11006.128 RX    89 64 00 00 29
   11026.462 RX    FF 00 30 80 7C
   11036.646 RX    95 00 26 00 26 00 26 00
   11057.002 RX    26 00 00 00
   11057.040 TX    80
   11077.358 RX    80 80 1C 00 00
   11087.559 RX    86 72 72 FF 65
   11107.889 RX    78 25 00 80 01
   11118.054 RX    00 00 00 1D
   11138.339 RX    81 4F 03 6B 00 30
   11158.588 RX    0C B2 00 00 00
   11158.619 TX    7D
   11168.740 RX    7D 7D
   11189.062 RX    21 40 0A FF 91
   11199.339 RX    00 58 FF FF 01
   11219.734 RX    00 89 64 00
   11229.889 RX    00 29 FF 00 30
   11250.177 RX    80 7C 95 00 26 00 26 00
   11270.432 RX    26 00 26 00 00 00
   11270.468 TX    80
   11280.594 RX    80 80
   11301.085 RX    1C 00 00 86 72
   11311.269 RX    72 FF 65 78 25
   11332.065 RX    00 80 01 00 00
   11342.379 RX    00 1D 81 4F 03 6B
   11362.827 RX    00 30 0C B2 00 00
   11373.056 RX    00
   11373.105 TX    7D
   11393.662 RX    7D 7D 21 40
   11413.978 RX    0A FF 91 00 58
   11424.154 RX    FF FF 01 00 89
   11444.617 RX    64 00 00 29 FF
   11454.801 RX    00 30 80 7C 95 00
   11475.322 RX    26 00 26 00 26 00 26 00
   11485.563 RX    00 00
   11485.667 TX    80
   11506.099 RX    80 80 1C 00 00
   11516.337 RX    86 72 72 FF 65
   11536.846 RX    78 25 00 80 01
   11557.327 RX    00 00 00 1D 81
   11567.631 RX    4F 03 6B 00 30
   11588.229 RX    0C B2 00 00 00
   11588.340 TX    7D
   11598.677 RX    7D 7D 21
   11619.253 RX    40 0A FF 91 00
   11629.824 RX    58 FF FF 01 00
   11650.335 RX    89 64 00 00
   11660.785 RX    29 FF 00 30 80
   11681.418 RX    7C 95 00 26 00 26 00 26 00
   11701.970 RX    26 00 00 00
   11702.102 TX    80
   11712.425 RX    80 80
